2019-11-26 00:01:02.028359 INFO   ................ [START] NURI PROXY  ................ 
2019-11-26 00:01:02.028624 INFO  proxy server initialization 
2019-11-26 00:01:02.028639 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-11-26 00:01:02.028719 INFO  Listen host = 112.136.247.181
2019-11-26 00:01:02.028731 INFO  Listen port = 12083
2019-11-26 00:01:02.028739 INFO  Backend host = 127.0.0.1
2019-11-26 00:01:02.028747 INFO  Backend port = 1813
2019-11-26 00:01:02.028754 INFO  CACertificate file =/usr/local/nuri-ssl/certs/ca_chain.conf
2019-11-26 00:01:02.028762 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A.kepco.com.pem
2019-11-26 00:01:02.028770 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/NTC50180000A.key.pem
2019-11-26 00:01:02.028778 INFO  Max session time =13
2019-11-26 00:01:02.028821 INFO  ptls server initialization
2019-11-26 00:01:02.454936 INFO  Waiting for DTLS communication...... 
2019-11-26 00:01:02.454956 INFO  ptls_session_ctx_malloc success
