2019-03-18 15:52:43.771347 INFO  [thread_id : 3392915200] ptls_server_session_close_notify 0
2019-03-18 15:52:43.771372 INFO  Socket has been closed. [Socket Discriptor = 5]
2019-03-18 15:52:43.771383 INFO  [thread_id : 3392915200] ptls_session_ctx_free 0
2019-03-18 17:30:09.116406 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-03-18 17:30:09.116516 INFO  Waiting for DTLS communication...... 
2019-03-18 17:30:09.116532 INFO  ptls_session_ctx_malloc success
2019-03-18 17:30:09.116603 INFO  Socket has been created. [Socket Discriptor = 5]
2019-03-18 17:30:09.116649 INFO  [thread_id : 3384522496] Thread start 
2019-03-18 17:30:09.117601 INFO  ptls_server_read[169] : <<pass>> 
2019-03-18 17:30:09.117651 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 17:30:09.117726 INFO  radius server <- proxy :: 169 Bytes data sent.
2019-03-18 17:30:09.118664 INFO  radius server -> proxy :: 64 Byte data received.
2019-03-18 17:30:09.118799 INFO  ptls_server_write[64] : <<pass>>

2019-03-18 17:30:09.126182 INFO  ptls_server_read[307] : <<pass>> 
2019-03-18 17:30:09.126222 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 17:30:09.126281 INFO  radius server <- proxy :: 307 Bytes data sent.
2019-03-18 17:30:09.128502 INFO  radius server -> proxy :: 1068 Byte data received.
2019-03-18 17:30:09.129154 INFO  ptls_server_write[1068] : <<pass>>

2019-03-18 17:30:09.130500 INFO  ptls_server_read[167] : <<pass>> 
2019-03-18 17:30:09.130538 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 17:30:09.130583 INFO  radius server <- proxy :: 167 Bytes data sent.
2019-03-18 17:30:09.131154 INFO  radius server -> proxy :: 323 Byte data received.
2019-03-18 17:30:09.131440 INFO  ptls_server_write[323] : <<pass>>

2019-03-18 17:30:09.144876 INFO  ptls_server_read[1289] : <<pass>> 
2019-03-18 17:30:09.144911 INFO  Backend Server = 127.0.0.1:1813
