2019-02-21 16:36:07.881192 INFO   ................ [START] NURI PROXY  ................ 
2019-02-21 16:36:07.881477 INFO  proxy server initialization 
2019-02-21 16:36:07.881495 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-02-21 16:36:07.881582 INFO  Listen host = 127.0.0.1
2019-02-21 16:36:07.881595 INFO  Listen port = 12083
2019-02-21 16:36:07.881604 INFO  Backend host = 127.0.0.1
2019-02-21 16:36:07.881613 INFO  Backend port = 1813
2019-02-21 16:36:07.881622 INFO  CACertificate file =/usr/local/nuri-ssl/certs/kepco/ca_chain.conf
2019-02-21 16:36:07.881632 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A_sign.pem
2019-02-21 16:36:07.881641 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/sign_private_A.out.key
2019-02-21 16:36:07.881650 INFO  Max session time =13
2019-02-21 16:36:07.881698 INFO  ptls server initialization
2019-02-21 16:36:08.314328 INFO  Waiting for DTLS communication...... 
2019-02-21 16:36:08.314347 INFO  ptls_session_ctx_malloc success
2019-02-21 16:36:15.436271 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-02-21 16:36:15.436387 INFO  Waiting for DTLS communication...... 
2019-02-21 16:36:15.436404 INFO  ptls_session_ctx_malloc success
2019-02-21 16:36:15.448341 INFO  Socket has been created. [Socket Discriptor = 5]
2019-02-21 16:36:15.448393 INFO  [thread_id : 916850432] Thread start 
2019-02-21 16:36:15.451429 INFO  ptls_server_read[169] : <<pass>> 
2019-02-21 16:36:15.451465 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.452060 INFO  proxy -> radius server :: 169 Bytes data sent.
2019-02-21 16:36:15.452084 INFO  radius server -> proxy :: 64 Byte data received.
2019-02-21 16:36:15.452163 INFO  ptls_server_write[64] : <<pass>>

2019-02-21 16:36:15.498170 INFO  ptls_server_read[307] : <<pass>> 
2019-02-21 16:36:15.498197 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.498227 INFO  proxy -> radius server :: 307 Bytes data sent.
2019-02-21 16:36:15.499513 INFO  radius server -> proxy :: 1068 Byte data received.
2019-02-21 16:36:15.500105 INFO  ptls_server_write[1068] : <<pass>>

2019-02-21 16:36:15.501877 INFO  ptls_server_read[167] : <<pass>> 
2019-02-21 16:36:15.501903 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.501932 INFO  proxy -> radius server :: 167 Bytes data sent.
2019-02-21 16:36:15.502250 INFO  radius server -> proxy :: 324 Byte data received.
2019-02-21 16:36:15.502474 INFO  ptls_server_write[324] : <<pass>>

2019-02-21 16:36:15.638333 INFO  ptls_server_read[1290] : <<pass>> 
2019-02-21 16:36:15.638361 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.638391 INFO  proxy -> radius server :: 1290 Bytes data sent.
2019-02-21 16:36:15.640386 INFO  radius server -> proxy :: 119 Byte data received.
2019-02-21 16:36:15.640515 INFO  ptls_server_write[119] : <<pass>>

2019-02-21 16:36:15.654976 INFO  ptls_server_read[167] : <<pass>> 
2019-02-21 16:36:15.655003 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.655032 INFO  proxy -> radius server :: 167 Bytes data sent.
2019-02-21 16:36:15.655719 INFO  radius server -> proxy :: 1118 Byte data received.
2019-02-21 16:36:15.656328 INFO  ptls_server_write[1118] : <<pass>>

2019-02-21 16:36:15.733497 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-02-21 16:36:15.733561 INFO  Waiting for DTLS communication...... 
2019-02-21 16:36:15.733574 INFO  ptls_session_ctx_malloc success
2019-02-21 16:36:15.757332 INFO  Socket has been created. [Socket Discriptor = 8]
2019-02-21 16:36:15.757379 INFO  [thread_id : 908457728] Thread start 
2019-02-21 16:36:15.757523 INFO  ptls_server_read[169] : <<pass>> 
2019-02-21 16:36:15.757540 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.757899 INFO  proxy -> radius server :: 169 Bytes data sent.
2019-02-21 16:36:15.757921 INFO  radius server -> proxy :: 64 Byte data received.
2019-02-21 16:36:15.767994 INFO  ptls_server_write[64] : <<pass>>

2019-02-21 16:36:15.768211 INFO  ptls_server_read[307] : <<pass>> 
2019-02-21 16:36:15.768224 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.769332 INFO  proxy -> radius server :: 307 Bytes data sent.
2019-02-21 16:36:15.769371 INFO  radius server -> proxy :: 1068 Byte data received.
2019-02-21 16:36:15.769963 INFO  ptls_server_write[1068] : <<pass>>

2019-02-21 16:36:15.778418 INFO  ptls_server_read[167] : <<pass>> 
2019-02-21 16:36:15.778445 INFO  Backend Server = 127.0.0.1:1813
2019-02-21 16:36:15.778778 INFO  proxy -> radius server :: 167 Bytes data sent.
2019-02-21 16:36:15.778799 INFO  radius server -> proxy :: 324 Byte data received.
2019-02-21 16:36:15.779014 INFO  ptls_server_write[324] : <<pass>>

2019-02-21 16:36:15.880584 INFO  ptls_server_read[1289] : <<pass>> 
