2019-03-13 16:34:55.345537 INFO   ................ [START] NURI PROXY  ................ 
2019-03-13 16:34:55.345825 INFO  proxy server initialization 
2019-03-13 16:34:55.345846 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-03-13 16:34:55.345937 INFO  Listen host = 2001:2d8:270:10c0:a52e:f288:cf1e:e0f1
2019-03-13 16:34:55.345950 INFO  Listen port = 12083
2019-03-13 16:34:55.345960 INFO  Backend host = 127.0.0.1
2019-03-13 16:34:55.345969 INFO  Backend port = 1813
2019-03-13 16:34:55.345978 INFO  CACertificate file =/usr/local/nuri-ssl/certs/kepco/ca_chain.conf
2019-03-13 16:34:55.345987 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A_sign.pem
2019-03-13 16:34:55.345996 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/sign_private_A.out.key
2019-03-13 16:34:55.346005 INFO  Max session time =13
2019-03-13 16:34:55.346052 INFO  ptls server initialization
2019-03-13 16:34:55.775669 INFO  Waiting for DTLS communication...... 
2019-03-13 16:34:55.775686 INFO  ptls_session_ctx_malloc success
2019-03-13 16:35:07.828921 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-03-13 16:35:07.829019 INFO  Waiting for DTLS communication...... 
2019-03-13 16:35:07.829037 INFO  ptls_session_ctx_malloc success
2019-03-13 16:35:07.829133 INFO  Socket has been created. [Socket Discriptor = 5]
2019-03-13 16:35:07.829199 INFO  [thread_id : 773326592] Thread start 
2019-03-13 16:35:07.829818 INFO  ptls_server_read[169] : <<pass>> 
2019-03-13 16:35:07.829865 INFO  Backend Server = 127.0.0.1:1813
2019-03-13 16:35:07.829948 INFO  radius server <- proxy :: 169 Bytes data sent.
2019-03-13 16:35:07.830910 INFO  radius server -> proxy :: 64 Byte data received.
2019-03-13 16:35:07.831032 INFO  ptls_server_write[64] : <<pass>>

2019-03-13 16:35:07.835901 INFO  ptls_server_read[307] : <<pass>> 
2019-03-13 16:35:07.835936 INFO  Backend Server = 127.0.0.1:1813
2019-03-13 16:35:07.835978 INFO  radius server <- proxy :: 307 Bytes data sent.
2019-03-13 16:35:07.838111 INFO  radius server -> proxy :: 1068 Byte data received.
2019-03-13 16:35:07.838731 INFO  ptls_server_write[1068] : <<pass>>

2019-03-13 16:35:07.839812 INFO  ptls_server_read[167] : <<pass>> 
2019-03-13 16:35:07.839847 INFO  Backend Server = 127.0.0.1:1813
2019-03-13 16:35:07.839890 INFO  radius server <- proxy :: 167 Bytes data sent.
