2019-12-01 00:01:01.806002 INFO  _NPROXY_ is started. 
2019-12-01 00:01:01.806260 INFO  proxy server initialization 
2019-12-01 00:01:01.806277 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-12-01 00:01:01.806366 INFO  Listen host = 112.136.247.181
2019-12-01 00:01:01.806377 INFO  Listen port = 12083
2019-12-01 00:01:01.806385 INFO  Backend host = 127.0.0.1
2019-12-01 00:01:01.806393 INFO  Backend port = 1813
2019-12-01 00:01:01.806400 INFO  CACertificate file =/usr/local/nuri-ssl/certs/ca_chain.conf
2019-12-01 00:01:01.806408 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A.kepco.com.pem
2019-12-01 00:01:01.806416 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/NTC50180000A.key.pem
2019-12-01 00:01:01.806424 INFO  Max session time =13
2019-12-01 00:01:01.806432 INFO  FEP Server IP = 59.3.93.125
2019-12-01 00:01:01.806440 INFO  FEP Server Port = 19000
2019-12-01 00:01:01.806486 INFO  ptls server initialization
2019-12-01 00:01:02.239946 INFO  Waiting for DTLS communication...... 
2019-12-01 00:01:02.239963 INFO  ptls_session_ctx_malloc success
