2019-11-30 00:01:01.848350 INFO  _NPROXY_ is started. 
2019-11-30 00:01:01.848606 INFO  proxy server initialization 
2019-11-30 00:01:01.848620 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-11-30 00:01:01.848704 INFO  Listen host = 112.136.247.181
2019-11-30 00:01:01.848715 INFO  Listen port = 12083
2019-11-30 00:01:01.848723 INFO  Backend host = 127.0.0.1
2019-11-30 00:01:01.848730 INFO  Backend port = 1813
2019-11-30 00:01:01.848738 INFO  CACertificate file =/usr/local/nuri-ssl/certs/ca_chain.conf
2019-11-30 00:01:01.848745 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A.kepco.com.pem
2019-11-30 00:01:01.848753 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/NTC50180000A.key.pem
2019-11-30 00:01:01.848761 INFO  Max session time =13
2019-11-30 00:01:01.848769 INFO  FEP Server IP = 59.3.93.125
2019-11-30 00:01:01.848776 INFO  FEP Server Port = 19000
2019-11-30 00:01:01.848816 INFO  ptls server initialization
2019-11-30 00:01:02.274503 INFO  Waiting for DTLS communication...... 
2019-11-30 00:01:02.274519 INFO  ptls_session_ctx_malloc success
