2019-11-27 00:01:01.900070 INFO   ................ [START] NURI PROXY  ................ 
2019-11-27 00:01:01.900333 INFO  proxy server initialization 
2019-11-27 00:01:01.900348 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-11-27 00:01:01.900425 INFO  Listen host = 112.136.247.181
2019-11-27 00:01:01.900435 INFO  Listen port = 12083
2019-11-27 00:01:01.900442 INFO  Backend host = 127.0.0.1
2019-11-27 00:01:01.900449 INFO  Backend port = 1813
2019-11-27 00:01:01.900456 INFO  CACertificate file =/usr/local/nuri-ssl/certs/ca_chain.conf
2019-11-27 00:01:01.900464 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A.kepco.com.pem
2019-11-27 00:01:01.900471 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/NTC50180000A.key.pem
2019-11-27 00:01:01.900478 INFO  Max session time =13
2019-11-27 00:01:01.900519 INFO  ptls server initialization
2019-11-27 00:01:02.306433 INFO  Waiting for DTLS communication...... 
2019-11-27 00:01:02.306454 INFO  ptls_session_ctx_malloc success
